2,2005-10-26,0,0
2,2005-11-25,0,0
2,2005-12-25,4,0
2,2006-01-24,2,0
2,2006-02-23,109,0
2,2006-03-25,277,1
2,2006-04-24,180,0
2,2006-05-24,77,0
2,2006-06-23,21,0
2,2006-07-23,227,0
2,2006-08-22,13,0
2,2006-09-21,112,0
2,2006-10-21,112,0
2,2006-11-20,1439,0
2,2006-12-20,73,0
2,2007-01-19,1617,0
2,2007-02-18,52,0
2,2007-03-20,309,0
2,2007-04-19,246,0
2,2007-05-19,58,0
2,2007-06-18,240,0
2,2007-07-18,127,0
2,2007-08-17,141,0
2,2007-09-16,147,0
2,2007-10-16,9002,0
2,2007-11-15,6176,1
2,2007-12-15,835,0
2,2008-01-14,327,0
2,2008-02-13,57,0
2,2008-03-14,134,0
2,2008-04-13,42,0
2,2008-05-13,78,0
2,2008-06-12,72,0
2,2008-07-12,310,0
2,2008-08-11,561,0
2,2008-09-10,100,0
2,2008-10-10,282,0
2,2008-11-09,129,0
2,2008-12-09,182,0
2,2009-01-08,159,0
2,2009-02-07,136,0
2,2009-03-09,97,0
2,2009-04-08,295,0
2,2009-05-08,110,0
2,2009-06-07,340,0
2,2009-07-07,131,0
2,2009-08-06,612,0
2,2009-09-05,1117,0
2,2009-10-05,166,0
2,2009-11-04,22,0
2,2009-12-04,20,0
2,2010-01-03,76,0
2,2010-02-02,26,0
2,2010-03-04,62,0
2,2010-04-03,45,0
2,2010-05-03,21,0
2,2010-06-02,174,0
2,2010-07-02,46,0
2,2010-08-01,323,16
2,2010-08-31,117,0
2,2010-09-30,62,0
2,2010-10-30,54,0
2,2010-11-29,17,0
2,2010-12-29,41,0
2,2011-01-28,112,0
2,2011-02-27,81,0
2,2011-03-29,249,0
2,2011-04-28,102,0
2,2011-05-28,65,0
2,2011-06-27,161,0
2,2011-07-27,42,0
2,2011-08-26,71,0
